Origin,Destination,6E Flight Number,Departure (Local Time),Arrival (Local Time),Via,Days of Operations,Effective From,Effective To
Ahmedabad (AMD),Bengaluru (BLR),823,09:05,11:20,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Bengaluru (BLR),758,12:40,14:50,,"Except Tue, Sun",19-Feb-18,28-Feb-18
Ahmedabad (AMD),Bengaluru (BLR),758,13:00,15:10,,Every Tue,20-Feb-18,27-Feb-18
Ahmedabad (AMD),Bengaluru (BLR),893,17:05,19:15,,Except Tue,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Bengaluru (BLR),893,18:25,20:35,,Every Tue,20-Feb-18,27-Feb-18
Ahmedabad (AMD),Bengaluru (BLR),735,20:10,22:25,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Bengaluru (BLR),996,23:50,02:05,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Mumbai (BOM),6958,05:20,06:40,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Mumbai (BOM),3834,07:45,09:05,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Mumbai (BOM),984,08:55,11:00,,Except Sun,01-Mar-18,24-Mar-18
Ahmedabad (AMD),Mumbai (BOM),984,08:55,11:05,,Every Sun,04-Mar-18,18-Mar-18
Ahmedabad (AMD),Mumbai (BOM),214,09:20,10:40,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Mumbai (BOM),984,09:35,11:05,,Every Sun,25-Feb-18,25-Feb-18
Ahmedabad (AMD),Mumbai (BOM),984,10:25,11:45,,Except Sun,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Mumbai (BOM),403,14:00,15:20,,Except Sun,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Mumbai (BOM),313,18:40,20:05,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Mumbai (BOM),313,19:55,20:55,,Daily,01-Mar-18,24-Mar-18
Ahmedabad (AMD),Kolkata (CCU),125,06:40,09:10,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Kolkata (CCU),135,16:10,18:40,,Every Sat,24-Feb-18,24-Feb-18
Ahmedabad (AMD),Kolkata (CCU),135,16:15,18:45,,Except Sat,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Kolkata (CCU),363,22:55,01:30,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Delhi (DEL),6683,04:50,06:20,,Daily,01-Mar-18,24-Mar-18
Ahmedabad (AMD),Delhi (DEL),6683,05:05,06:45,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Delhi (DEL),158,06:10,07:50,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Delhi (DEL),962,07:00,08:35,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Delhi (DEL),3492,08:45,10:25,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Delhi (DEL),731,15:35,17:20,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Delhi (DEL),162,17:40,19:20,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Delhi (DEL),166,20:25,22:05,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Delhi (DEL),728,22:00,23:35,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Goa (GOI),161,13:05,14:55,,Except Sun,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Goa (GOI),947,22:50,00:45,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Goa (GOI),947,23:25,01:20,,Daily,01-Mar-18,24-Mar-18
Ahmedabad (AMD),Hyderabad (HYD),879,08:10,10:05,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Hyderabad (HYD),383,15:55,17:40,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Hyderabad (HYD),371,19:40,21:25,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Jaipur (JAI),237,19:05,20:30,,Daily,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Jaipur (JAI),237,19:45,20:55,,Daily,01-Mar-18,24-Mar-18
Ahmedabad (AMD),Lucknow (LKO),244,08:35,10:50,,Daily,01-Mar-18,24-Mar-18
Ahmedabad (AMD),Lucknow (LKO),244,09:40,11:50,,Every Sun,25-Feb-18,25-Feb-18
Ahmedabad (AMD),Lucknow (LKO),244,10:05,11:50,,"Except Thu, Fri, Sun",24-Feb-18,28-Feb-18
Ahmedabad (AMD),Lucknow (LKO),627,10:05,11:50,,"Except Sat, Sun",19-Feb-18,23-Feb-18
Ahmedabad (AMD),Chennai (MAA),238,09:55,12:20,,"Except Mon, Tue, Wed",25-Feb-18,04-Mar-18
Ahmedabad (AMD),Chennai (MAA),238,09:55,12:20,,Daily,05-Mar-18,24-Mar-18
Ahmedabad (AMD),Chennai (MAA),238,10:00,12:20,,Except Sun,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Chennai (MAA),856,23:30,01:55,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Pune (PNQ),351,04:40,05:55,,Daily,19-Feb-18,24-Mar-18
Ahmedabad (AMD),Pune (PNQ),202,16:10,17:25,,Except Sat,19-Feb-18,28-Feb-18
Ahmedabad (AMD),Pune (PNQ),674,21:55,23:10,,Daily,19-Feb-18,24-Mar-18
Amritsar (ATQ),Bengaluru (BLR),478,16:20,19:30,,Daily,19-Feb-18,24-Mar-18
Amritsar (ATQ),Mumbai (BOM),448,13:40,16:20,,Daily,19-Feb-18,24-Mar-18
Amritsar (ATQ),Delhi (DEL),525,06:55,08:10,,Except Sat,19-Feb-18,28-Feb-18
Amritsar (ATQ),Delhi (DEL),525,06:55,08:00,,Every Sat,24-Feb-18,24-Mar-18
Amritsar (ATQ),Delhi (DEL),525,06:55,08:10,,Except Sat,01-Mar-18,23-Mar-18
Amritsar (ATQ),Delhi (DEL),637,16:50,18:00,,Daily,19-Feb-18,28-Feb-18
Amritsar (ATQ),Delhi (DEL),637,16:50,17:55,,Daily,01-Mar-18,24-Mar-18
Amritsar (ATQ),Delhi (DEL),895,23:10,00:20,,Daily,19-Feb-18,24-Mar-18
Amritsar (ATQ),Jammu (IXJ),367,13:55,14:50,,Daily,19-Feb-18,24-Mar-18
Amritsar (ATQ),Srinagar (SXR),477,13:25,14:35,,Daily,19-Feb-18,24-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),157,07:00,08:55,,Daily,19-Feb-18,24-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),317,10:30,12:40,,Except Tue,19-Feb-18,24-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),317,13:55,16:00,,Every Tue,20-Feb-18,20-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),492,14:15,16:30,,Daily,19-Feb-18,24-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),3869,21:00,23:05,,"Except Tue, Sat",19-Feb-18,23-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),3869,21:00,23:10,,Every Sat,24-Feb-18,24-Mar-18
Bhubaneswar (BBI),Bengaluru (BLR),3869,21:25,23:30,,Every Tue,20-Feb-18,20-Mar-18
Bhubaneswar (BBI),Mumbai (BOM),375,08:45,11:20,,Daily,19-Feb-18,24-Mar-18
Bhubaneswar (BBI),Mumbai (BOM),257,13:05,15:40,,Daily,19-Feb-18,24-Mar-18
Bhubaneswar (BBI),Kolkata (CCU),557,10:20,11:15,,Daily,19-Feb-18,24-Mar-18
