callsign,average delay
VT-IAN,-1.0292177191328935
VT-IES,-0.26292725679228746
VT-IAS,-0.2751173708920188
VT-IFU,-0.004344048653344918
VT-IFT,0.15271389144434222
VT-IAR,1.7289156626506024
VT-IEN,1.431321084864392
VT-IAY,-0.2183517417162277
VT-INX,0.18558558558558558
VT-IER,1.3740808823529411
VT-IEH,0.0632034632034632
VT-IAX,-0.11319148936170212
VT-IDB,0.0289193302891933
VT-IAO,-0.02042483660130719
VT-IEK,0.057308970099667775
VT-IEU,-0.029079159935379642
VT-IEP,-0.200990099009901
VT-IEJ,-0.2646239554317549
VT-IAL,0.02073515551366635
VT-IDI,0.04811715481171548
-,0.6961701180138054
VT-IEI,0.022542831379621278
VT-IDU,-0.11904761904761905
V,-0.14402917046490427
VT-IAP,0.03924914675767918
VT-IEM,0.07749766573295985
VT-IEQ,0.31842576028622543
VT-IAQ,-0.13054830287206268
VT-IEO,-1.1565743944636677
VT-IGY,-1.052364864864865
VT-IFY,0.005623242736644799
VT-IFW,1.0282846715328469
VT-IEG,0.25448028673835127
VT-IEF,-0.28990825688073396
VT-IFX,-0.22192273135669363
VT-IEL,-0.06926829268292684
VT-INP,0.03548680618744313
VT-IDE,-0.09972552607502287
VT-IEC,0.055837563451776644
VT-IEA,-0.13344182262001628
VT-IDD,-0.1246797608881298
VT-IDW,0.01702127659574468
VT-SDK,0.0
VT-IFI,0.027675276752767528
VT-IFQ,0.2132288946910357
VT-IHC,0.03522012578616352
VT-IFB,1.2414721723518851
VT-IFZ,0.24329324699352453
VT-IFM,-0.20168855534709193
VT-IFN,0.017690875232774676
VT-IFL,-0.11185308848080133
320,7.45
VT-IFH,0.23604060913705585
VT-IFP,-0.04042037186742118
VT-IFS,0.06436567164179105
VT-IEZ,-0.21837088388214904
VT-IGS,1.5429906542056073
VTIFU,40.36363636363637
VTIFT,-6.5
VT-IET,-1.380500431406385
VT-IDS,0.10101010101010101
VT-JFW,0.0
VT-IEX,0.22231614539306846
VT-BAS,0.0
VT-INU,-0.05098684210526316
VTIAL,-16.25
VA,-2.2544483985765127
VT-GOR,0.0
VTIEL,8.166666666666666
VT-IFK,0.7047704770477048
VT-INS,-0.08189655172413793
VT-ARF,0.0
VT-IDG,-2.2836456558773426
VT-IDH,-0.17670286278381045
VT-INY,-0.15975820379965458
VTIAN,5.2857142857142865
VT-IHB,-0.23497267759562843
VT-IDF,0.2266152362584378
VT-IDK,-0.07374890254609306
VT-IHG,0.08646188850967008
VT-IDO,-0.12784588441331
VT-SLC,0.0
VT-OMM,-1.6666666666666667
VTIAP,-16.666666666666668
VTIEI,11.375
VT-IDP,-1.1487437185929648
VT-IDA,-0.3776223776223776
VT-IGZ,-0.9475465313028765
VT-IGU,-0.171606864274571
VT-IFR,-0.12979890310786107
VT-IFF,1.1530434782608696
VT-IHA,-0.045172719220549155
VT-IHD,0.27137546468401486
VT-IDR,-0.019198664440734557
VT-IFC,0.1263537906137184
VT-IED,-1.8359929078014185
VT-IGJ,-0.23507805325987144
VT-INQ,0.050643776824034335
VT-IDJ,0.09401709401709403
VT-IGH,0.038497652582159626
VT-IDL,-2.1527777777777777
VT-INT,0.11716842961757526
VT-IFJ,0.16465116279069766
VT-IDT,-0.0728667305848514
VT-IGI,1.317658349328215
VT-IEE,1.0274093722369584
VT-IGW,0.06993642143505904
VT-IFD,-0.006178287731685789
VT-IGK,1.150927487352445
VT-IGT,1.3598645215918712
VT-IGX,-1.1093082835183603
VT-IFE,1.1379621280432821
VT-INR,-0.04507257448433919
VT-IDC,0.21389195148842338
VT-IDM,0.09798775153105861
VT-IDN,1.355996222851747
VT-IDZ,-0.032843560933448576
VT-IEY,-0.22263109475620976
VT-IFG,-0.12664473684210525
VT-IEB,0.12016806722689076
VT-IDQ,0.36041486603284356
VT-INZ,-0.10710987996306556
VT-IGL,-2.573473282442748
VT-IFO,-0.26229508196721313
VT-IHE,2.550595238095238
VT-IHJ,0.07888040712468194
VT-IFA,0.03234750462107209
VT-IHK,-0.07096774193548387
VT-IEW,1.1126005361930293
VT-IHM,0.0
VT-SLG,0.0
VT-AXX,0.0
VT-SZK,0.0
VT-JFH,0.0
VTIFX,-13.8
VTIEP,15.333333333333334
VTIEM,-12.0
VTIEH,23.6
VTIDU,-11.0
VTIER,10.4
VTIES,-6.428571428571429
VTIEJ,-5.4
VTIEG,-9.8
VTIEF,-5.5
VTIAO,-12.25
VTIEK,-3.6666666666666665
VTIAQ,-4.0
VT-IHR,3.3793103448275863
VT-ITD,-0.044740024183796856
VT-ITA,0.036328871892925434
VT-ITB,-0.09801980198019802
VT-ITT,0.06399235912129894
VT-ITC,-0.36781609195402304
VT-ITE,-0.12202380952380952
VT-ITL,1.6859504132231404
VT-ITR,0.021436227224008574
VT-ITM,-0.5287817938420348
VTIFA,-11.0
VT-ITO,-0.06132075471698113
VT-ITW,0.11307901907356949
VT-ITY,0.01495016611295681
VT-ITI,0.001876172607879925
VT-IDY,1.027661357921207
VT-ITJ,0.040455120101137804
VT-ITF,1.6584317937701398
VT-ITH,-0.121524201853759
VT-ITX,0.10612855007473841
VT-ITS,-1.7508455467869222
VT-ITK,-0.239572192513369
VT-ITQ,1.5253360910031024
VC,0.6904276985743381
VT-IHN,0.6175824175824176
VT-ITG,-1.5781818181818181
VT-ITU,-0.08504398826979472
VT-IHH,0.3257575757575758
VT-IHP,-0.4962025316455696
VT-ITP,1.2710084033613447
VF,0.25319693094629153
VT-IHF,6.921621621621622
VT-IHL,0.0213903743315508
VT-IHO,-3.100418410041841
VT-ITN,0.10975609756097561
VT-IDX,-0.921173235563703
VT-ITZ,0.0984974958263773
VB,5.409722222222222
VD,-4.416129032258064
VE,-3.2071269487750556
VT-IHQ,-0.14960629921259844
VTIFE,15.11111111111111
VT-JFK,0.0
VTIHF,-13.197860962566844
VTIDE,11.333333333333334
VTIGI,-199.35714285714283
VT-JFC,0.0
VT-IHS,-0.20930232558139533
VJ,0.0
VTIDQ,-1.6666666666666667
VTIHA,-4.375
VTIGJ,27.583333333333332
VTINQ,-8.0
VTINY,-2.75
VTIGL,-8.909090909090908
VTIGS,-15.777777777777777
VTIFD,31.25
VTIAX,12.666666666666666
A320 (LY-ONL,0.26753246753246757
VTIDS,60.3
VT-TTL,0.0
VT-AIT,0.0
VT-JFG,0.0
VT-AML,0.0
VTIHE,4.071895424836601
